Title,UrlName,Language,Summary,FAQ_Question__c,FAQ_Answer__c,Chat_Answer__c,ValidationStatus,IsVisibleInPkb,IsVisibleInCsp,IsVisibleInPrm
일반임대와 보험임대의 차이점은 어떻게 되나요?,medihomes-faq-048,ko,보험임대는 수면다원검사 후 무호흡증이 판단된 고객들께서 건강보험공단 급여 적용을 받아 양압기를 임대하는 계약입니다.,일반임대와 보험임대의 차이점은 어떻게 되나요?,"보험임대는 수면다원검사 후 무호흡증이 판단된 고객들께서 건강보험공단 급여 적용을 받아 양압기를 임대하는 계약입니다. 보험임대 유지에는 양압기 지속 사용 및 처방전 갱신이 필요하나 건강보험공단 급여 혜택을 받을 수 있으며, 일반임대는 조건없이 임대가 가능하나 본인부담금에 대한 급여 혜택 적용이 불가합니다.",보험임대는 수면다원검사 후 무호흡증이 판단된 고객들께서 건강보험공단 급여 적용을 받아 양압기를 임대하는 계약입니다.,Validated,true,true,true
계약서/임대확인서를 다시 받아볼 수 있을까요?,medihomes-faq-049,ko,담당자에게 전달하여 받아 보실 수 있도록 도와 드리겠습니다.,계약서/임대확인서를 다시 받아볼 수 있을까요?,담당자에게 전달하여 받아 보실 수 있도록 도와 드리겠습니다. 전달받으실 이메일 주소 확인 부탁드립니다. (전자서명 대필 issue로 담당자에게 계약서 전달 요청.),담당자에게 전달하여 받아 보실 수 있도록 도와 드리겠습니다.,Validated,true,true,true
계약 기간은 언제까지인가요?,medihomes-faq-050,ko,"건강보험공단의 보험 혜택을 받고 임대를 진행하시는 부분이기에 계약 기간이 정해져있는 사항은 아니며, 병원 진료를 통하여 처방전 갱신을 해주시면 지속적으로 사용 가능함 안내.",계약 기간은 언제까지인가요?,"건강보험공단의 보험 혜택을 받고 임대를 진행하시는 부분이기에 계약 기간이 정해져있는 사항은 아니며, 병원 진료를 통하여 처방전 갱신을 해주시면 지속적으로 사용 가능함 안내. 일반적인 임대와 다르게 소유권 이전이 되거나 하지는 않음 안내.","건강보험공단의 보험 혜택을 받고 임대를 진행하시는 부분이기에 계약 기간이 정해져있는 사항은 아니며, 병원 진료를 통하여 처방전 갱신을 해주시면 지속적으로 사용 가능함 안내.",Validated,true,true,true
계약기간은 어떻게 되나요?,medihomes-faq-051,ko,고객님의 계약기간은 양압기 처방전 처방기간에 맞춰 갱신됩니다.,계약기간은 어떻게 되나요?,"고객님의 계약기간은 양압기 처방전 처방기간에 맞춰 갱신됩니다. 고객님의 처방만료일(계약만료일)은 0000년 00월 00일 예정이며, 만료일에 맞춰 처방전 갱신하여 제출해주시면 계약기간 자동 연장 예정입니다.",고객님의 계약기간은 양압기 처방전 처방기간에 맞춰 갱신됩니다.,Validated,true,true,true
마스크 보험 혜택 제공 주기는 어떻게 되나요?,medihomes-faq-052,ko,양압기 마스크 보험 혜택은 해당 연도에 1회 구매 가능합니다.,마스크 보험 혜택 제공 주기는 어떻게 되나요?,양압기 마스크 보험 혜택은 해당 연도에 1회 구매 가능합니다. 해당 연도에 구매 이력이 확인된다면 추가 구매시 본인부담금 발생될 수 있는 부분에 대해 참고 부탁드립니다.,양압기 마스크 보험 혜택은 해당 연도에 1회 구매 가능합니다.,Validated,true,true,true
"순응기간이 3개월에 한번만 해당하는건가요, 1개월 단위인가요?",medihomes-faq-053,ko,"순응은 최초 처방 기간중 기준(연속된 30일 내에 4시간 이상 사용하신 일수가 21일 이상 되었을 경우), 한번 충족해주시면 됨","순응기간이 3개월에 한번만 해당하는건가요, 1개월 단위인가요?","순응은 최초 처방 기간중 기준(연속된 30일 내에 4시간 이상 사용하신 일수가 21일 이상 되었을 경우), 한번 충족해주시면 됨","순응은 최초 처방 기간중 기준(연속된 30일 내에 4시간 이상 사용하신 일수가 21일 이상 되었을 경우), 한번 충족해주시면 됨",Validated,true,true,true
양압기 임대료 문의,medihomes-faq-054,ko,"양압기 보험혜택 적용 대상으로 등록이 되면, 순응기간 본인부담금 50%, 순응기간 이후 본인부담금 20%의 본인부담금으로 양압기 임대가 가능합니다.",양압기 임대료 문의,"양압기 보험혜택 적용 대상으로 등록이 되면, 순응기간 본인부담금 50%, 순응기간 이후 본인부담금 20%의 본인부담금으로 양압기 임대가 가능합니다.","양압기 보험혜택 적용 대상으로 등록이 되면, 순응기간 본인부담금 50%, 순응기간 이후 본인부담금 20%의 본인부담금으로 양압기 임대가 가능합니다.",Validated,true,true,true
임대료는 언제 인하되나요?,medihomes-faq-055,ko,"본인부담금의 경우, 최초처방 기간중 순응조건에 충족 후, 후처방전 발행을 위한 진료를 통하여 처방전 발행이 되는 날짜 기준으로(만료일 이전 발행...",임대료는 언제 인하되나요?,"본인부담금의 경우, 최초처방 기간중 순응조건에 충족 후, 후처방전 발행을 위한 진료를 통하여 처방전 발행이 되는 날짜 기준으로(만료일 이전 발행시),(만료일 이후 발행시에는 연장된 날짜기준) 인하되고 있음","본인부담금의 경우, 최초처방 기간중 순응조건에 충족 후, 후처방전 발행을 위한 진료를 통하여 처방전 발행이 되는 날짜 기준으로(만료일 이전 발행...",Validated,true,true,true
계약 중도 해지할 경우 어떻게 되나요?,medihomes-faq-056,ko,"계약 중도 해지에 관한 사항을 없으나, 의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장드립니다.",계약 중도 해지할 경우 어떻게 되나요?,"계약 중도 해지에 관한 사항을 없으나, 의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장드립니다.  진료를 보지 않겠다고 하실 경우 : 다음 결제일에 한번 더 결제될 수 있다는 안내 및 택배 반납 절차 문자 안내","계약 중도 해지에 관한 사항을 없으나, 의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장드립니다.",Validated,true,true,true
공단에서 입금했다는 문자가 오는데 뭔가요?,medihomes-faq-057,ko,건강보험공단에서 의료급여 혜택으로 임대를 진행하고 계시는 부분이기에 공단에서 업체로 본인부담금 제외한 금액을 지급한다는 내용의 안내문자인점 말씀드림.,공단에서 입금했다는 문자가 오는데 뭔가요?,건강보험공단에서 의료급여 혜택으로 임대를 진행하고 계시는 부분이기에 공단에서 업체로 본인부담금 제외한 금액을 지급한다는 내용의 안내문자인점 말씀드림.,건강보험공단에서 의료급여 혜택으로 임대를 진행하고 계시는 부분이기에 공단에서 업체로 본인부담금 제외한 금액을 지급한다는 내용의 안내문자인점 말씀드림.,Validated,true,true,true
보험임대 청구를 본인이 직접할 수 있나요?,medihomes-faq-058,ko,양압기 보험임대 청구는 건강보험공단 홈페이지를 통하여 직접 청구 가능합니다.,보험임대 청구를 본인이 직접할 수 있나요?,양압기 보험임대 청구는 건강보험공단 홈페이지를 통하여 직접 청구 가능합니다. 자세한 사항은 건강보험공단 홈페이지 양압기 급여등록란 참고 부탁드립니다.,양압기 보험임대 청구는 건강보험공단 홈페이지를 통하여 직접 청구 가능합니다.,Validated,true,true,true
업체이동 시 필요한 서류는 어떻게 되나요?,medihomes-faq-059,ko,"임대중인 업체 변경 희망 시 고객님의 양압기 사용데이터, 최근 처방전(사본), 임대중인 업체명 확인하여 고객센터로 연락주시면, 담당자 확인 후 연락드리도록 하겠습니다.",업체이동 시 필요한 서류는 어떻게 되나요?,"임대중인 업체 변경 희망 시 고객님의 양압기 사용데이터, 최근 처방전(사본), 임대중인 업체명 확인하여 고객센터로 연락주시면, 담당자 확인 후 연락드리도록 하겠습니다.","임대중인 업체 변경 희망 시 고객님의 양압기 사용데이터, 최근 처방전(사본), 임대중인 업체명 확인하여 고객센터로 연락주시면, 담당자 확인 후 연락드리도록 하겠습니다.",Validated,true,true,true
기기 구매 후 외국으로 들고 나가서 사용할 수 있을까요?,medihomes-faq-060,ko,기기 구매 후 외국으로 양압기 지참하여 사용 가능합니다.,기기 구매 후 외국으로 들고 나가서 사용할 수 있을까요?,기기 구매 후 외국으로 양압기 지참하여 사용 가능합니다.,기기 구매 후 외국으로 양압기 지참하여 사용 가능합니다.,Validated,true,true,true
임대 후 해외출국할 경우 어떻게 되나요?,medihomes-faq-061,ko,"양압기 보험임대 후 해외 출국시 출국 다음날로부터 건강보험 급여 정지가 되며, 입국시 건강보험적용가능합니다.",임대 후 해외출국할 경우 어떻게 되나요?,"양압기 보험임대 후 해외 출국시 출국 다음날로부터 건강보험 급여 정지가 되며, 입국시 건강보험적용가능합니다.  1개월 이상의 장기간 해외 출국 예정인 경우 임대 업체에 반드시 내용 공유 부탁드립니다.","양압기 보험임대 후 해외 출국시 출국 다음날로부터 건강보험 급여 정지가 되며, 입국시 건강보험적용가능합니다.",Validated,true,true,true
주소가 변경될 경우 어떻게 변경요청 하면 되나요?,medihomes-faq-062,ko,변경된 주소지 말씀해주시면 주소지 변경 진행 도와드리겠습니다.,주소가 변경될 경우 어떻게 변경요청 하면 되나요?,변경된 주소지 말씀해주시면 주소지 변경 진행 도와드리겠습니다.,변경된 주소지 말씀해주시면 주소지 변경 진행 도와드리겠습니다.,Validated,true,true,true
수면다원검사 없이 수면무호흡증이 있는지 판단할 수 있는 방법이 있을까요?,medihomes-faq-063,ko,"평상시에 코골이 소리가 크다고 소리를 듣거나 목둘레가 두꺼울 경우 수면 무호흡증이 있을 경우가 높으며, 수면 중 자주 깬다고 느끼시면 수면 무호흡증을 의심해보셔야 합니다.",수면다원검사 없이 수면무호흡증이 있는지 판단할 수 있는 방법이 있을까요?,"평상시에 코골이 소리가 크다고 소리를 듣거나 목둘레가 두꺼울 경우 수면 무호흡증이 있을 경우가 높으며, 수면 중 자주 깬다고 느끼시면 수면 무호흡증을 의심해보셔야 합니다. 코골이 측정앱등을 통하여 간단하게 확인 가능하며, 수면중 무호흡증 지수를 확인하기 위해서는 수면다원검사를 진행해 보아야 합니다.","평상시에 코골이 소리가 크다고 소리를 듣거나 목둘레가 두꺼울 경우 수면 무호흡증이 있을 경우가 높으며, 수면 중 자주 깬다고 느끼시면 수면 무호흡증을 의심해보셔야 합니다.",Validated,true,true,true
계약 중도 해지할 경우 어떻게 되나요? 기기반납,medihomes-faq-064,ko,"계약 중도 해지에 관한 사항을 없으나, 의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장드립니다.",계약 중도 해지할 경우 어떻게 되나요? 기기반납,"계약 중도 해지에 관한 사항을 없으나, 의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장드립니다.  진료를 보지 않겠다고 하실 경우 : 임대 중지에 따른 패널티(만료일로부터 180일 이후 재임대 가능, 수면다원 검사 및 순응절차 재진행 해야함)와 택배 반납 절차 문자 안내","계약 중도 해지에 관한 사항을 없으나, 의료기기이기에 임대 중지를 하시려면 의료진과의 상담을 통하여 중단을 해도 되는 상황인지를 들어보시고 결정하실 것을 권장드립니다.",Validated,true,true,true
일반임대와 보험임대/보험임대와 구매,medihomes-faq-065,ko,보험임대는 수면다원검사 후 무호흡증이 판단된 고객들께서 건강보험공단 급여 적용을 받아 양압기를 임대하는 계약입니다.,일반임대와 보험임대/보험임대와 구매,"보험임대는 수면다원검사 후 무호흡증이 판단된 고객들께서 건강보험공단 급여 적용을 받아 양압기를 임대하는 계약입니다. 보험임대 유지에는 양압기 지속 사용 및 처방전 갱신이 필요하나 건강보험공단 급여 혜택을 받을 수 있으며, 일반임대는 조건없이 임대가 가능하나 본인부담금에 대한 급여 혜택 적용이 불가합니다.",보험임대는 수면다원검사 후 무호흡증이 판단된 고객들께서 건강보험공단 급여 적용을 받아 양압기를 임대하는 계약입니다.,Validated,true,true,true
"순응기간이 3개월에 한번만 해당하는건가요, 1개월 단위인가요? 순응 후에는 사용 기준이 어떻게 되나요?",medihomes-faq-066,ko,"순응중 : 최초 처방 기간중 기준(연속된 30일 내에 4시간 이상 사용하신 일수가 21일 이상 되었을 경우), 한번 충족해주시면 됨 순응후 : 3개월 처방기간 동안 하루평균 2시간 이상 사용 기록이 확인되어야 함.","순응기간이 3개월에 한번만 해당하는건가요, 1개월 단위인가요? 순응 후에는 사용 기준이 어떻게 되나요?","순응중 : 최초 처방 기간중 기준(연속된 30일 내에 4시간 이상 사용하신 일수가 21일 이상 되었을 경우), 한번 충족해주시면 됨 순응후 : 3개월 처방기간 동안 하루평균 2시간 이상 사용 기록이 확인되어야 함.( 90일 기준 총 180시간 사용 )","순응중 : 최초 처방 기간중 기준(연속된 30일 내에 4시간 이상 사용하신 일수가 21일 이상 되었을 경우), 한번 충족해주시면 됨 순응후 : 3개월 처방기간 동안 하루평균 2시간 이상 사용 기록이 확인되어야 함.",Validated,true,true,true
양압기를 임대하려면 필요한게 무엇이 있을까요?,medihomes-faq-067,ko,"양압기 보험임대를 하기 위해서는 수면다원검사 결과지, 양압기 처방전, 양압기 등록신청서의 서류가 필요하며 추가적으로 위임장 작성을 해주셔야 합니다.",양압기를 임대하려면 필요한게 무엇이 있을까요?,"양압기 보험임대를 하기 위해서는 수면다원검사 결과지, 양압기 처방전, 양압기 등록신청서의 서류가 필요하며 추가적으로 위임장 작성을 해주셔야 합니다.(신분증 지참 -> 공단 제출 필요)","양압기 보험임대를 하기 위해서는 수면다원검사 결과지, 양압기 처방전, 양압기 등록신청서의 서류가 필요하며 추가적으로 위임장 작성을 해주셔야 합니다.",Validated,true,true,true
공단에서 등록이 정상적으로 되었다는 문자가 오는데 뭔가요?,medihomes-faq-068,ko,양압기 임대를 진행하시면서 작성해주셨던 등록신청서가 공단으로 제출되어 접수가 정상적으로 되셨음을 알려주는 안내 문자입니다.,공단에서 등록이 정상적으로 되었다는 문자가 오는데 뭔가요?,양압기 임대를 진행하시면서 작성해주셨던 등록신청서가 공단으로 제출되어 접수가 정상적으로 되셨음을 알려주는 안내 문자입니다.,양압기 임대를 진행하시면서 작성해주셨던 등록신청서가 공단으로 제출되어 접수가 정상적으로 되셨음을 알려주는 안내 문자입니다.,Validated,true,true,true
